0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:31:48 +0530] "GET /project1frontend/resources/images/img2.jpg HTTP/1.1" 200 115314
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:31:48 +0530] "GET /project1frontend/resources/images/hp%20laptop.jpg HTTP/1.1" 200 122910
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:31:48 +0530] "GET /project1frontend/resources/images/bullate.jpg HTTP/1.1" 200 97654
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:31:48 +0530] "GET /project1frontend/resources/images/DreamArea.png HTTP/1.1" 200 5412663
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:31:55 +0530] "GET /project1frontend/admin/getproductform HTTP/1.1" 200 6344
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:31:55 +0530] "GET /project1frontend/resources/css/table.css HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:31:55 +0530] "GET /project1frontend/resources/css/navbar.css HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:31:55 +0530] "GET /project1frontend/resources/images/DreamArea.png HTTP/1.1" 200 5412663
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:31:57 +0530] "GET /project1frontend/all/getproducts HTTP/1.1" 200 11030
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:31:57 +0530] "GET /project1frontend/resources/css/table.css HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:31:57 +0530] "GET /project1frontend/resources/css/navbar.css HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:31:57 +0530] "GET /project1frontend/resources/images/46.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:31:57 +0530] "GET /project1frontend/resources/images/45.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:31:57 +0530] "GET /project1frontend/resources/images/47.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:31:57 +0530] "GET /project1frontend/resources/images/49.png HTTP/1.1" 200 522630
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:31:57 +0530] "GET /project1frontend/resources/images/50.png HTTP/1.1" 200 621467
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:31:57 +0530] "GET /project1frontend/resources/images/81.png HTTP/1.1" 200 97654
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:31:57 +0530] "GET /project1frontend/resources/images/DreamArea.png HTTP/1.1" 200 5412663
